xorg-x11-drv-openchrome-0.5.0-3,  xorg-x11-drv-openchrome,  0.5.0-3
python-perf-3.10.0-862.9.1,  python-perf,  3.10.0-862.9.1
nss-sysinit-3.36.0-5.el7_5,  nss-sysinit,  3.36.0-5.el7_5
gnupg2-2.0.22-5.el7_5,  gnupg2,  2.0.22-5.el7_5
rpm-libs-4.11.3-32,  rpm-libs,  4.11.3-32
rpm-build-libs-4.11.3-32,  rpm-build-libs,  4.11.3-32
yum-3.4.3-158,  yum,  3.4.3-158
binutils-2.27-28.base.el7_5.1,  binutils,  2.27-28.base.el7_5.1
kpartx-0.4.9-119,  kpartx,  0.4.9-119
procps-ng-3.3.10-17.el7_5.2,  procps-ng,  3.3.10-17.el7_5.2
cryptsetup-libs-1.7.4-4,  cryptsetup-libs,  1.7.4-4
kmod-20-21,  kmod-20-21, ???
elfutils-libs-0.170-4,  elfutils-libs,  0.170-4
elfutils-default-yama-scope-0.170-4,  elfutils-default-yama-scope,  0.170-4
systemd-sysv-219-57,  systemd-sysv-219-57, ???
device-mapper-event-libs-1.02.146-4,  device-mapper-event-libs,  1.02.146-4
polkit-0.112-14,  polkit,  0.112-14
NetworkManager-libnm-1.10.2-16.el7_5,  NetworkManager-libnm,  1.10.2-16.el7_5
openssh-7.4p1-16,  openssh-7.4p1-16, ???
policycoreutils-2.5-22,  policycoreutils,  2.5-22
dhcp-common-4.2.5-68.el7_5.1,  dhcp-common,  4.2.5-68.el7_5.1
dracut-network-033-535,  dracut-network-033-535, ???
libdrm-2.4.83-2,  libdrm,  2.4.83-2
grub2-tools-extra-2.02-0.65.el7_4.2,  grub2-tools-extra,  2.02-0.65.el7_4.2
device-mapper-event-1.02.146-4,  device-mapper-event,  1.02.146-4
wpa_supplicant-2.6-9,  wpa_supplicant,  2.6-9
rpcbind-0.2.0-44,  rpcbind,  0.2.0-44
rhnsd-5.0.13-10,  rhnsd,  5.0.13-10
yum-rhn-plugin-2.0.1-10,  yum-rhn-plugin,  2.0.1-10
cronie-anacron-1.4.11-19,  cronie-anacron,  1.4.11-19
plymouth-core-libs-0.8.9-0.31.20140113,  plymouth-core-libs,  0.8.9-0.31.20140113
plymouth-0.8.9-0.31.20140113,  plymouth,  0.8.9-0.31.20140113
linux-firmware-20180220-62.2.git6d51311.el7_5,  linux-firmware-20180220-62.2.git6d51311.el7_5, ???
subscription-manager-rhsm-certificates-1.20.11-1.el7_5,  subscription-manager-rhsm-certificates,  1.20.11-1.el7_5
hwloc-libs-1.11.8-4,  hwloc-libs,  1.11.8-4
libteam-1.27-4,  libteam,  1.27-4
libgnat-devel-4.8.5-28.el7_5.1,  libgnat-devel,  4.8.5-28.el7_5.1
kernel-tools-libs-3.10.0-862.9.1,  kernel-tools-libs,  3.10.0-862.9.1
libsndfile-1.0.25-10,  libsndfile,  1.0.25-10
libini_config-1.3.1-29,  libini_config,  1.3.1-29
libmodman-2.0.1-8,  libmodman,  2.0.1-8
kernel-tools-3.10.0-862.9.1,  kernel-tools,  3.10.0-862.9.1
nettle-2.7.1-8,  nettle,  2.7.1-8
subscription-manager-1.20.11-1.el7_5,  subscription-manager,  1.20.11-1.el7_5
glib-networking-2.50.0-1,  glib-networking,  2.50.0-1
kernel-3.10.0-862.9.1,  kernel,  3.10.0-862.9.1
rest-0.8.0-2,  rest,  0.8.0-2
firewalld-0.4.4.4-14,  firewalld-0,  4.4.4-14
geoclue2-2.4.5-1,  geoclue2,  2.4.5-1
NetworkManager-tui-1.10.2-16.el7_5,  NetworkManager-tui,  1.10.2-16.el7_5
libstdc++-devel-4.8.5-28.el7_5.1,  libstdc++-devel,  4.8.5-28.el7_5.1
grub2-2.02-0.65.el7_4.2,  grub2,  2.02-0.65.el7_4.2
telepathy-glib-0.24.1-1,  telepathy-glib,  0.24.1-1
selinux-policy-targeted-3.13.1-192.el7_5.4,  selinux-policy-targeted,  3.13.1-192.el7_5.4
perl-threads-1.87-4,  perl-threads,  1.87-4
qt-4.8.7-2,  qt,  4.8.7-2
openssh-clients-7.4p1-16,  openssh-clients-7.4p1-16, ???
perl-Filter-1.49-3,  perl-Filter,  1.49-3
sound-theme-freedesktop-0.8-3,  sound-theme-freedesktop,  0.8-3
audit-2.8.1-3,  audit,  2.8.1-3
dconf-0.26.0-2,  dconf,  0.26.0-2
microcode_ctl-2.1-29.2.el7_5,  microcode_ctl,  2.1-29.2.el7_5
gpm-libs-1.20.7-5,  gpm-libs,  1.20.7-5
at-spi2-atk-2.22.0-2,  at-spi2-atk,  2.22.0-2
libgudev1-219-57,  libgudev1-219-57, ???
clutter-1.26.2-2,  clutter,  1.26.2-2
parted-3.1-29,  parted,  3.1-29
webkitgtk4-plugin-process-gtk2-2.16.6-6,  webkitgtk4-plugin-process-gtk2,  2.16.6-6
redhat-support-tool-0.9.10-1,  redhat-support-tool,  0.9.10-1
gcr-3.20.0-1,  gcr,  3.20.0-1
e2fsprogs-1.42.9-12.el7_5,  e2fsprogs,  1.42.9-12.el7_5
clutter-gtk-1.8.4-1,  clutter-gtk,  1.8.4-1
openssl-1.0.2k-12,  openssl-1.0.2k-12, ???
libcanberra-gtk3-0.30-5,  libcanberra-gtk3,  0.30-5
logrotate-3.8.6-15,  logrotate,  3.8.6-15
compat-cheese314-3.14.2-1,  compat-cheese314,  3.14.2-1
libgomp-4.8.5-28.el7_5.1,  libgomp,  4.8.5-28.el7_5.1
mc-4.8.7-11,  mc,  4.8.7-11
compat-libgnome-bluetooth11-3.8.2.1-2,  compat-libgnome-bluetooth11-3,  8.2.1-2
libtdb-1.3.15-1,  libtdb,  1.3.15-1
compat-libgnome-desktop3-7-3.8.4-2,  compat-libgnome-desktop3-7,  3.8.4-2
iwl6000-firmware-9.221.4.1-62.2.el7_5,  iwl6000-firmware-9,  221.4.1-62.2.el7_5
spacewalk-usix-2.7.1-3.el7sat,  spacewalk-usix,  2.7.1-3.el7sat
compat-glade315-3.15.0-1,  compat-glade315,  3.15.0-1
iwl2000-firmware-18.168.6.1-62.2.el7_5,  iwl2000-firmware-18,  168.6.1-62.2.el7_5
rhncfg-client-5.10.87-12.el7sat,  rhncfg-client,  5.10.87-12.el7sat
gcc-objc++-4.8.5-28.el7_5.1,  gcc-objc++,  4.8.5-28.el7_5.1
iwl5150-firmware-8.24.2.2-62.2.el7_5,  iwl5150-firmware-8,  24.2.2-62.2.el7_5
rhncfg-management-5.10.87-12.el7sat,  rhncfg-management,  5.10.87-12.el7sat
compat-grilo02-0.2.12-1,  compat-grilo02,  0.2.12-1
iwl7265-firmware-22.0.7.0-62.2.el7_5,  iwl7265-firmware-22,  0.7.0-62.2.el7_5
python-kitchen-1.1.1-5,  python-kitchen,  1.1.1-5
compat-poppler022-glib-0.22.5-4,  compat-poppler022-glib,  0.22.5-4
emacs-filesystem-24.3-20,  emacs-filesystem,  24.3-20
bind-license-9.9.4-61,  bind-license,  9.9.4-61
compat-db47-4.7.25-28,  compat-db47,  4.7.25-28
NetworkManager-config-server-1.10.2-16.el7_5,  NetworkManager-config-server,  1.10.2-16.el7_5
ntpdate-4.2.6p5-28,  ntpdate-4.2.6p5-28, ???
gcc-gfortran-4.8.5-28.el7_5.1,  gcc-gfortran,  4.8.5-28.el7_5.1
iwl3945-firmware-15.32.2.9-62.2.el7_5,  iwl3945-firmware-15,  32.2.9-62.2.el7_5
vim-enhanced-7.4.160-4,  vim-enhanced,  7.4.160-4
compat-opensm-libs-3.3.15-2,  compat-opensm-libs,  3.3.15-2
perl-Getopt-Long-2.40-3,  perl-Getopt-Long,  2.40-3
bind-utils-9.9.4-61,  bind-utils,  9.9.4-61
compat-libcolord1-1.0.4-1,  compat-libcolord1,  1.0.4-1
iwl2030-firmware-18.168.6.1-62.2.el7_5,  iwl2030-firmware-18,  168.6.1-62.2.el7_5
unzip-6.0-19,  unzip,  6.0-19
compat-libcap1-1.10-7,  compat-libcap1,  1.10-7
iwl5000-firmware-8.83.5.1_1-62.2.el7_5,  iwl5000-firmware-8.83.5.1_1-62.2.el7_5, ???
wget-1.14-15.el7_4.1,  wget,  1.14-15.el7_4.1
compat-libf2c-34-3.4.6-32,  compat-libf2c-34,  3.4.6-32
iwl6000g2b-firmware-17.168.5.2-62.2.el7_5,  iwl6000g2b-firmware-17,  168.5.2-62.2.el7_5
psmisc-22.20-15,  psmisc,  22.20-15
compat-libxcb-1.9-1,  compat-libxcb,  1.9-1
compat-openldap-2.3.43-5,  compat-openldap,  2.3.43-5
compat-gcc-44-4.4.7-8,  compat-gcc-44,  4.4.7-8
js-1.8.5-20,  js,  1.8.5-20
elinks-0.12-0.37.pre6,  elinks,  0.12-0.37.pre6
libsss_certmap-1.16.0-19.el7_5.5,  libsss_certmap,  1.16.0-19.el7_5.5
lsof-4.87-5,  lsof,  4.87-5
cyrus-sasl-lib-2.1.26-23,  cyrus-sasl-lib,  2.1.26-23
strace-4.12-6,  strace,  4.12-6
samba-common-libs-4.7.1-6,  samba-common-libs,  4.7.1-6
glibc-2.17-222.el7.i686,  glibc,  2.17-222.el7.i686
samba-client-libs-4.7.1-6,  samba-client-libs,  4.7.1-6
libstdc++-4.8.5-28.el7_5.1.i686,  libstdc++,  4.8.5-28.el7_5.1.i686
cyrus-sasl-gssapi-2.1.26-23,  cyrus-sasl-gssapi,  2.1.26-23
libaio-devel-0.3.109-13.el7.i686,  libaio-devel,  0.3.109-13.el7.i686
dbus-1.10.24-7,  dbus,  1.10.24-7
glibc-devel-2.17-222.el7.i686,  glibc-devel,  2.17-222.el7.i686
http-parser-2.7.1-5.el7_4,  http-parser,  2.7.1-5.el7_4
oracleasmlib-2.0.12-1,  oracleasmlib,  2.0.12-1
nscd-2.17-222,  nscd,  2.17-222
perl-Data-Dumper-2.145-3,  perl-Data-Dumper,  2.145-3
libsss_nss_idmap-1.16.0-19.el7_5.5,  libsss_nss_idmap,  1.16.0-19.el7_5.5
epel-release-7-11,  epel-release-7-11, ???
libsss_autofs-1.16.0-19.el7_5.5,  libsss_autofs,  1.16.0-19.el7_5.5
zabbix-agent-3.4.15-1,  zabbix-agent,  3.4.15-1
sssd-common-1.16.0-19.el7_5.5,  sssd-common,  1.16.0-19.el7_5.5
splunkforwarder-8.0.1-6db836e2fb9e,  splunkforwarder,  8.0.1-6db836e2fb9e
sssd-common-pac-1.16.0-19.el7_5.5,  sssd-common-pac,  1.16.0-19.el7_5.5
sssd-ipa-1.16.0-19.el7_5.5,  sssd-ipa,  1.16.0-19.el7_5.5
sssd-krb5-1.16.0-19.el7_5.5,  sssd-krb5,  1.16.0-19.el7_5.5
python-sssdconfig-1.16.0-19.el7_5.5,  python-sssdconfig,  1.16.0-19.el7_5.5
nss-pam-ldapd-0.8.13-16,  nss-pam-ldapd,  0.8.13-16
oddjob-mkhomedir-0.31.5-4,  oddjob-mkhomedir,  0.31.5-4
libcom_err-1.42.9-12.el7_5,  libcom_err,  1.42.9-12.el7_5
libuuid-2.23.2-52,  libuuid,  2.23.2-52
elfutils-libelf-0.170-4,  elfutils-libelf,  0.170-4
grub2-common-2.02-0.65.el7_4.2,  grub2-common,  2.02-0.65.el7_4.2
pciutils-libs-3.5.1-3,  pciutils-libs,  3.5.1-3
libacl-2.2.51-14,  libacl,  2.2.51-14
e2fsprogs-libs-1.42.9-12.el7_5,  e2fsprogs-libs,  1.42.9-12.el7_5
lz4-1.7.5-2,  lz4,  1.7.5-2
xmlsec1-1.2.20-7.el7_4,  xmlsec1,  1.2.20-7.el7_4
ethtool-4.8-7,  ethtool,  4.8-7
filesystem-3.2-25,  filesystem,  3.2-25
grub2-pc-modules-2.02-0.65.el7_4.2,  grub2-pc-modules,  2.02-0.65.el7_4.2
mozjs17-17.0.0-20,  mozjs17,  17.0.0-20
libss-1.42.9-12.el7_5,  libss,  1.42.9-12.el7_5
xorg-x11-drv-keyboard-1.9.0-1,  xorg-x11-drv-keyboard,  1.9.0-1
avahi-libs-0.6.31-19,  avahi-libs,  0.6.31-19
alsa-firmware-1.0.28-2,  alsa-firmware,  1.0.28-2
xorg-x11-fonts-ISO8859-2-100dpi-7.5-9,  xorg-x11-fonts-ISO8859-2-100dpi,  7.5-9
bash-4.2.46-30,  bash,  4.2.46-30
libfastjson-0.99.4-2,  libfastjson,  0.99.4-2
xorg-x11-fonts-ISO8859-14-100dpi-7.5-9,  xorg-x11-fonts-ISO8859-14-100dpi,  7.5-9
cpio-2.11-27,  cpio,  2.11-27
xorg-x11-fonts-75dpi-7.5-9,  xorg-x11-fonts-75dpi,  7.5-9
iproute-4.11.0-14,  iproute,  4.11.0-14
pcre-8.32-17,  pcre,  8.32-17
xorg-x11-fonts-Type1-7.5-9,  xorg-x11-fonts-Type1,  7.5-9
openssl-libs-1.0.2k-12,  openssl-libs-1.0.2k-12, ???
xz-libs-5.2.2-1,  xz-libs,  5.2.2-1
xorg-x11-proto-devel-7.7-20,  xorg-x11-proto-devel,  7.7-20
ncurses-5.9-14.20130511.el7_4,  ncurses,  5.9-14.20130511.el7_4
kbd-misc-1.15.5-13,  kbd-misc,  1.15.5-13
mpfr-3.1.1-4,  mpfr,  3.1.1-4
libblkid-2.23.2-52,  libblkid,  2.23.2-52
kernel-3.10.0-693,  kernel,  3.10.0-693
chkconfig-1.7.4-1,  chkconfig,  1.7.4-1
libmpc-1.0.1-3,  libmpc,  1.0.1-3
glib2-2.54.2-2,  glib2,  2.54.2-2
readline-6.2-10,  readline,  6.2-10
gstreamer1-1.10.4-2,  gstreamer1,  1.10.4-2
python-six-1.9.0-2,  python-six,  1.9.0-2
libffi-3.0.13-18,  libffi,  3.0.13-18
libwayland-cursor-1.14.0-2,  libwayland-cursor,  1.14.0-2
python-slip-0.4.0-4,  python-slip,  0.4.0-4
rdma-core-15-7.el7_5,  rdma-core-15-7.el7_5, ???
python-inotify-0.9.4-4,  python-inotify,  0.9.4-4
opensm-libs-3.3.20-2,  opensm-libs,  3.3.20-2
libcurl-7.29.0-46,  libcurl,  7.29.0-46
gsettings-desktop-schemas-3.24.1-2.el7_5,  gsettings-desktop-schemas,  3.24.1-2.el7_5
rpm-4.11.3-32,  rpm,  4.11.3-32
findutils-4.5.11-5,  findutils,  4.5.11-5
kernel-headers-3.10.0-862.9.1,  kernel-headers,  3.10.0-862.9.1
rhn-client-tools-2.0.2-21,  rhn-client-tools,  2.0.2-21
glibc-devel-2.17-222,  glibc-devel,  2.17-222
device-mapper-1.02.146-4,  device-mapper,  1.02.146-4
libsysfs-2.1.0-16,  libsysfs,  2.1.0-16
libtheora-1.1.1-8,  libtheora,  1.1.1-8
dracut-033-535,  dracut-033-535, ???
p11-kit-0.23.5-3,  p11-kit,  0.23.5-3
libmng-1.0.10-14,  libmng,  1.0.10-14
systemd-219-57,  systemd-219-57, ???
xz-5.2.2-1,  xz,  5.2.2-1
enchant-1.6.0-8,  enchant,  1.6.0-8
grub2-tools-minimal-2.02-0.65.el7_4.2,  grub2-tools-minimal,  2.02-0.65.el7_4.2
libidn-1.28-4,  libidn,  1.28-4
gdk-pixbuf2-2.36.5-1,  gdk-pixbuf2,  2.36.5-1
hwdata-0.252-8.8,  hwdata,  0.252-8.8
libnfnetlink-1.0.1-4,  libnfnetlink,  1.0.1-4
libasyncns-0.8-7,  libasyncns,  0.8-7
virt-what-1.18-4,  virt-what,  1.18-4
lzo-2.06-8,  lzo,  2.06-8
avahi-glib-0.6.31-19,  avahi-glib,  0.6.31-19
dhclient-4.2.5-68.el7_5.1,  dhclient,  4.2.5-68.el7_5.1
harfbuzz-1.3.2-1,  harfbuzz,  1.3.2-1
pciutils-3.5.1-3,  pciutils,  3.5.1-3
ipset-libs-6.29-1,  ipset-libs,  6.29-1
harfbuzz-icu-1.3.2-1,  harfbuzz-icu,  1.3.2-1
lvm2-libs-2.02.177-4,  lvm2-libs,  2.02.177-4
libtirpc-0.2.4-0.10,  libtirpc,  0.2.4-0.10
iso-codes-3.46-2,  iso-codes,  3.46-2
rhn-check-2.0.2-21,  rhn-check,  2.0.2-21
libvisual-0.4.0-16,  libvisual,  0.4.0-16
ebtables-2.0.10-16,  ebtables,  2.0.10-16
gcc-objc-4.8.5-28.el7_5.1,  gcc-objc,  4.8.5-28.el7_5.1
plymouth-scripts-0.8.9-0.31.20140113,  plymouth-scripts,  0.8.9-0.31.20140113
lm_sensors-libs-3.4.0-4.20160601gitf9185e5,  lm_sensors-libs,  3.4.0-4.20160601gitf9185e5
adwaita-cursor-theme-3.26.0-1,  adwaita-cursor-theme,  3.26.0-1
fuse-2.9.2-10,  fuse,  2.9.2-10
perl-parent-0.225-244,  perl-parent,  0.225-244
libmspack-0.5-0.5.alpha,  libmspack,  0.5-0.5.alpha
ModemManager-glib-1.6.10-1,  ModemManager-glib,  1.6.10-1
teamd-1.27-4,  teamd,  1.27-4
perl-Pod-Escapes-1.04-292,  perl-Pod-Escapes,  1.04-292
libverto-0.2.5-4,  libverto,  0.2.5-4
pulseaudio-libs-10.0-5,  pulseaudio-libs,  10.0-5
gssproxy-0.7.0-17,  gssproxy,  0.7.0-17
perl-macros-5.16.3-292,  perl-macros,  5.16.3-292
gnutls-3.3.26-9,  gnutls,  3.3.26-9
open-vm-tools-10.1.10-3.el7_5.1,  open-vm-tools,  10.1.10-3.el7_5.1
perl-constant-1.27-2,  perl-constant,  1.27-2
totem-pl-parser-3.10.7-1,  totem-pl-parser,  3.10.7-1
quota-4.01-17,  quota,  4.01-17
perl-PathTools-3.40-5,  perl-PathTools,  3.40-5
python-decorator-3.4.0-3,  python-decorator,  3.4.0-3
gcc-c++-4.8.5-28.el7_5.1,  gcc-c++,  4.8.5-28.el7_5.1
kexec-tools-2.0.15-13,  kexec-tools,  2.0.15-13
perl-threads-shared-1.43-6,  perl-threads-shared,  1.43-6
qt-x11-4.8.7-2,  qt-x11,  4.8.7-2
openssh-server-7.4p1-16,  openssh-server-7.4p1-16, ???
perl-Pod-Simple-3.28-4,  perl-Pod-Simple,  3.28-4
libcroco-0.6.11-1,  libcroco,  0.6.11-1
at-spi2-core-2.22.0-1,  at-spi2-core,  2.22.0-1
irqbalance-1.0.7-11,  irqbalance,  1.0.7-11
dbus-python-1.1.1-9,  dbus-python,  1.1.1-9
webkitgtk4-jsc-2.16.6-6,  webkitgtk4-jsc,  2.16.6-6
nss-tools-3.36.0-5.el7_5,  nss-tools,  3.36.0-5.el7_5
gnome-online-accounts-3.26.2-1,  gnome-online-accounts,  3.26.2-1
sudo-1.8.19p2-14.el7_5,  sudo-1.8.19p2-14.el7_5, ???
python-pyudev-0.15-9,  python-pyudev,  0.15-9
gnome-desktop3-3.22.2-2,  gnome-desktop3,  3.22.2-2
cups-libs-1.6.3-35,  cups-libs,  1.6.3-35
cifs-utils-6.2-10,  cifs-utils,  6.2-10
gettext-0.19.8.1-2,  gettext-0,  19.8.1-2
compat-libgweather3-3.8.2-1,  compat-libgweather3,  3.8.2-1
tzdata-2018e-3,  tzdata-2018e-3, ???
spacewalk-backend-libs-2.0.3-18.el7sat,  spacewalk-backend-libs,  2.0.3-18.el7sat
yum-metadata-parser-1.1.4-10,  yum-metadata-parser,  1.1.4-10
compat-poppler022-qt-0.22.5-4,  compat-poppler022-qt,  0.22.5-4
iwl3160-firmware-22.0.7.0-62.2.el7_5,  iwl3160-firmware-22,  0.7.0-62.2.el7_5
rhncfg-actions-5.10.87-12.el7sat,  rhncfg-actions,  5.10.87-12.el7sat
python-linux-procfs-0.4.9-3,  python-linux-procfs,  0.4.9-3
gcc-gnat-4.8.5-28.el7_5.1,  gcc-gnat,  4.8.5-28.el7_5.1
iwl7260-firmware-22.0.7.0-62.2.el7_5,  iwl7260-firmware-22,  0.7.0-62.2.el7_5
yum-utils-1.1.31-45,  yum-utils,  1.1.31-45
python-configobj-4.7.2-7,  python-configobj,  4.7.2-7
compat-libmediaart0-0.7.0-1,  compat-libmediaart0,  0.7.0-1
iwl6050-firmware-41.28.5.1-62.2.el7_5,  iwl6050-firmware-41,  28.5.1-62.2.el7_5
vim-common-7.4.160-4,  vim-common,  7.4.160-4
compat-dapl-1.2.19-4,  compat-dapl,  1.2.19-4
iwl105-firmware-18.168.6.1-62.2.el7_5,  iwl105-firmware-18,  168.6.1-62.2.el7_5
bind-libs-lite-9.9.4-61,  bind-libs-lite,  9.9.4-61
pyxattr-0.5.1-5,  pyxattr,  0.5.1-5
compat-libupower-glib1-0.9.20-1,  compat-libupower-glib1,  0.9.20-1
vim-filesystem-7.4.160-4,  vim-filesystem,  7.4.160-4
mlocate-0.26-8,  mlocate,  0.26-8
fipscheck-1.4.1-6,  fipscheck,  1.4.1-6
compat-libgfortran-41-4.1.2-44,  compat-libgfortran-41,  4.1.2-44
xkeyboard-config-2.20-1,  xkeyboard-config,  2.20-1
samba-common-4.7.1-6,  samba-common,  4.7.1-6
nss-pem-1.0.3-4,  nss-pem,  1.0.3-4
compat-gcc-44-c++-4.4.7-8,  compat-gcc-44-c++,  4.4.7-8
xcb-util-0.4.0-2,  xcb-util,  0.4.0-2
dbus-libs-1.10.24-7,  dbus-libs,  1.10.24-7
bc-1.06.95-13,  bc,  1.06.95-13
libSM-1.2.2-2,  libSM,  1.2.2-2
libsss_idmap-1.16.0-19.el7_5.5,  libsss_idmap,  1.16.0-19.el7_5.5
libgcc-4.8.5-28.el7_5.1.i686,  libgcc,  4.8.5-28.el7_5.1.i686
fontpackages-filesystem-1.44-8,  fontpackages-filesystem,  1.44-8
libwbclient-4.7.1-6,  libwbclient,  4.7.1-6
libaio-0.3.109-13.el7.i686,  libaio,  0.3.109-13.el7.i686
stix-fonts-1.1.0-5,  stix-fonts,  1.1.0-5
oddjob-0.31.5-4,  oddjob,  0.31.5-4
redhat-logos-70.0.3-6,  redhat-logos,  70.0.3-6
kmod-oracleasm-2.0.8-21,  kmod-oracleasm,  2.0.8-21
xcb-util-keysyms-0.4.0-1,  xcb-util-keysyms,  0.4.0-1
c-ares-1.10.0-3,  c-ares,  1.10.0-3
pth-2.0.7-23,  pth,  2.0.7-23
rlwrap-0.42-1,  rlwrap,  0.42-1
libwayland-server-1.14.0-2,  libwayland-server,  1.14.0-2
sssd-client-1.16.0-19.el7_5.5,  sssd-client,  1.16.0-19.el7_5.5
node-exporter-0.18.1-1,  node-exporter,  0.18.1-1
mesa-libgbm-17.2.3-8.20171019,  mesa-libgbm,  17.2.3-8.20171019
sssd-krb5-common-1.16.0-19.el7_5.5,  sssd-krb5-common,  1.16.0-19.el7_5.5
libndp-1.2-7,  libndp,  1.2-7
libXrender-0.9.10-1,  libXrender,  0.9.10-1
sssd-ldap-1.16.0-19.el7_5.5,  sssd-ldap,  1.16.0-19.el7_5.5
libaio-0.3.109-13,  libaio,  0.3.109-13
libXt-1.1.5-3,  libXt,  1.1.5-3
sssd-1.16.0-19.el7_5.5,  sssd,  1.16.0-19.el7_5.5
libXfixes-5.0.3-1,  libXfixes,  5.0.3-1
openldap-clients-2.4.44-15.el7_5,  openldap-clients,  2.4.44-15.el7_5
libXxf86misc-1.0.3-7.1,  libXxf86misc,  1.0.3-7.1
VRTSnbpck-7.7.3.0-1463709736,  VRTSnbpck-7,  7.3.0-1463709736
xorg-x11-server-utils-7.7-20,  xorg-x11-server-utils,  7.7-20
sysstat-10.1.5-13,  sysstat,  10.1.5-13
xorg-x11-drv-fbdev-0.4.3-25,  xorg-x11-drv-fbdev,  0.4.3-25
nspr-4.19.0-1.el7_5,  nspr,  4.19.0-1.el7_5
xorg-x11-drv-nouveau-1.0.13-3,  xorg-x11-drv-nouveau,  1.0.13-3
libdb-5.3.21-24,  libdb,  5.3.21-24
os-prober-1.58-9,  os-prober,  1.58-9
xorg-x11-drv-dummy-0.3.7-1,  xorg-x11-drv-dummy,  0.3.7-1
redhat-release-server-7.5-8,  redhat-release-server,  7.5-8
xorg-x11-drv-void-1.4.1-2,  xorg-x11-drv-void,  1.4.1-2
setup-2.8.71-9,  setup,  2.8.71-9
libXxf86dga-1.1.4-2.1,  libXxf86dga,  1.1.4-2.1
libcollection-0.7.0-29,  libcollection,  0.7.0-29
libwacom-data-0.24-4,  libwacom-data,  0.24-4
libbasicobjects-0.1.1-29,  libbasicobjects,  0.1.1-29
xorg-x11-apps-7.7-7,  xorg-x11-apps,  7.7-7
device-mapper-persistent-data-0.7.3-3,  device-mapper-persistent-data,  0.7.3-3
