xorg-x11-drv-openchrome-0.5.0-3,  xorg-x11-drv-openchrome,  0.5.0-3
python-dateutil-1.5-7,  python-dateutil,  1.5-7
qt-settings-19-23.7,  qt-settings-19-23.7, ???
tuned-2.9.0-1,  tuned,  2.9.0-1
perl-Time-HiRes-1.9725-3,  perl-Time-HiRes,  1.9725-3
libcanberra-0.30-5,  libcanberra,  0.30-5
biosdevname-0.7.3-1,  biosdevname,  0.7.3-1
perl-5.16.3-292,  perl,  5.16.3-292
gtk3-3.22.26-4.el7_5,  gtk3,  3.22.26-4.el7_5
dracut-config-rescue-033-535,  dracut-config-rescue-033-535, ???
webkitgtk4-2.16.6-6,  webkitgtk4,  2.16.6-6
xfsprogs-4.5.0-15,  xfsprogs,  4.5.0-15
python-lxml-3.2.1-4,  python-lxml,  3.2.1-4
clutter-gst2-2.0.18-1,  clutter-gst2,  2.0.18-1
alsa-lib-1.1.4.1-2,  alsa-lib-1,  1.4.1-2
compat-libgdata13-0.13.3-1,  compat-libgdata13,  0.13.3-1
iprutils-2.4.15.1-1,  iprutils-2,  4.15.1-1
pygobject2-2.28.6-11,  pygobject2,  2.28.6-11
compat-gnome-desktop314-3.14.2-1,  compat-gnome-desktop314,  3.14.2-1
iwl135-firmware-18.168.6.1-62.2.el7_5,  iwl135-firmware-18,  168.6.1-62.2.el7_5
rhncfg-5.10.87-12.el7sat,  rhncfg,  5.10.87-12.el7sat
python-schedutils-0.4-6,  python-schedutils,  0.4-6
compat-openmpi16-1.6.4-10.6,  compat-openmpi16,  1.6.4-10.6
iwl1000-firmware-39.31.5.1-62.2.el7_5,  iwl1000-firmware-39,  31.5.1-62.2.el7_5
python-chardet-2.2.1-1.el7_1,  python-chardet,  2.2.1-1.el7_1
compat-libcogl-pango12-1.14.0-3,  compat-libcogl-pango12,  1.14.0-3
iwl4965-firmware-228.61.2.24-62.2.el7_5,  iwl4965-firmware-228,  61.2.24-62.2.el7_5
bind-libs-9.9.4-61,  bind-libs,  9.9.4-61
libxml2-python-2.9.1-6.el7_2.3,  libxml2-python,  2.9.1-6.el7_2.3
compat-libpackagekit-glib2-16-0.8.9-1,  compat-libpackagekit-glib2-16,  0.8.9-1
